id,user,picture,skillToLearn,skillToTeach,mode,city,country,availability,additionalInfo
1,1,https://res.cloudinary.com/digcf0lad/image/upload/v1730665703/Project%2012/users/venrick-azcueta-17qa33WJ6zI-unsplash_xz7zcj.webp,Skate,Breathing,both,Ericeira,Portugal,"Every day, after 5:00 pm","I'm a yoga instructor with 6 years of experience and am excited to learn skateboarding."
2,2,https://res.cloudinary.com/digcf0lad/image/upload/v1730665698/Project%2012/users/julian-wan-2EdIX-O2lkI-unsplash_s4qwwt.webp,Photography,Cooking/Painting,both,Lisbon,Portugal,"Weekends, 10:00 am - 4:00 pm","I love cooking and sharing recipes, and would love to learn more about photography techniques."
3,3,https://res.cloudinary.com/digcf0lad/image/upload/v1730665694/Project%2012/users/skate__xs9gkw.jpg,Guitar,English,online,Berlin,Germany,"Monday to Friday, after 6:00 pm","I'm fluent in English and interested in learning the basics of guitar."
4,4,https://res.cloudinary.com/digcf0lad/image/upload/v1730665698/Project%2012/users/2b25b991-247f-45a3-9b2f-6bbdea2be816_rzmpoq.jpg,Spanish,Mandarin,in-person,Shanghai,China,"Saturdays, 12:00 pm - 3:00 pm","I want to practice Spanish conversation and can help with Mandarin."
5,5,https://res.cloudinary.com/digcf0lad/image/upload/v1730665694/Project%2012/users/alex-suprun-1JGHAAdbL_Y-unsplash_dhsl5m.webp,Coding/Graphic Design,Photography,both,Madrid,Spain,"Fridays, 5:00 pm - 7:00 pm","I'm interested in learning coding and design principles, and I can offer beginner photography lessons."
6,6,https://res.cloudinary.com/digcf0lad/image/upload/v1730665700/Project%2012/users/STARSEEDS_sustainable_sportswear_brand_kcu4du.jpg,Public Speaking,Samba Dance/Portuguese,online,São Paulo,Brazil,"Weekends, after 2:00 pm","I want to improve my public speaking skills and can teach Samba and Portuguese."
7,7,https://res.cloudinary.com/digcf0lad/image/upload/v1730665698/Project%2012/users/The_physical_postures_or_asanas_in_yoga_are_often_designed_to_be_visually_pleasing_and_symmetrical_ot48qx.jpg,Photography,Yoga,both,Sydney,Australia,"Mondays, 9:00 am - 11:00 am","I've been doing photography for years and am interested in learning yoga."
8,8,https://res.cloudinary.com/digcf0lad/image/upload/v1730665701/Project%2012/users/austin-distel-VvAcrVa56fc-unsplash_c8vmxc.webp,Digital Marketing,Writing,both,Toronto,Canada,"Wednesday and Saturday mornings","I can help with writing and I'm looking to improve my digital marketing skills."
9,9,https://res.cloudinary.com/digcf0lad/image/upload/v1730665694/Project%2012/users/1_thunlu.webp,English,Korean,both,Seoul,South Korea,"Afternoons, any day","I'm fluent in Korean and can help others learn it while I practice English."
10,10,https://res.cloudinary.com/digcf0lad/image/upload/v1730665695/Project%2012/users/Teste_de_Personalidade_baseado_nos_trabalhos_de_Jung_e_Briggs-Myers_txiqkb.jpg,Business Management,Arabic,both,Dubai,UAE,"Sunday mornings","I want to learn more about business management and can help with Arabic language practice."
